Date	Venue	Field	Start	End	League	Home Team	Away Team	Referee	Lineman	Field Judge	Side Judge
2024-05-25	Rafz	Field 6	15:10	16:10	HARWY CE	CE Zurich Renegades C	CE St. Gallen Bears	B Soly Rhinos	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions	B Soly Rhinos
2024-05-25	Rafz	Field 6	16:20	17:20	HARWY CE	CE Thurgauer Generals	CE Rafz Bulldogs B	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears
2024-06-01	Fluntern	Field 1	9:50	10:50	HARWY CN	CN Fraumatt Legions	CN Argovia Pirates	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White
2024-06-01	Fluntern	Field 1	11:00	12:00	HARWY CN	CN Aemme Buzzards I	CN Blackbucks Uni Bern White	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates
2024-06-01	Fluntern	Field 1	12:00	13:00	HARWY CN	CN Basel Barbarians	CN Zofingen Cheetahs	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I
2024-06-01	Fluntern	Field 1	13:00	14:00	HARWY CN	CN Blackbucks Uni Bern White	CN Fraumatt Legions	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates
2024-06-01	Fluntern	Field 1	14:10	15:10	HARWY CN	CN Zurich Renegades B	CN Argovia Pirates	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs
2024-06-01	Fluntern	Field 1	15:20	16:20	HARWY CN	CN Aemme Buzzards I	CN Zofingen Cheetahs	CN Zurich Renegades B	CN Fraumatt Legions	CN Fraumatt Legions	CN Fraumatt Legions
2024-06-01	Fluntern	Field 1	16:30	17:30	HARWY CN	CN Zurich Renegades B	CN Basel Barbarians	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White
2024-06-01	Fluntern	Field 2	9:50	10:50	U16	U16 Zurich Renegades A	U16 Zurich Renegades B	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs
2024-06-01	Fluntern	Field 2	11:00	12:00	U16	U16 Zofingen Cheetahs	U16 Winterthur Warriors	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians
2024-06-01	Fluntern	Field 2	12:00	13:00	U16	U16 Zurich Renegades A	U16 St. Gallen Bears	CN Zurich Renegades B	CN Fraumatt Legions	CN Fraumatt Legions	CN Fraumatt Legions
2024-06-01	Fluntern	Field 2	13:00	14:00	U16	U16 Argovia Pirates	U16 Langenthal Invaders	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians
2024-06-01	Fluntern	Field 2	14:10	15:10	U16	U16 Zofingen Cheetahs	U16 Lugano Rebels	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I
2024-06-01	Fluntern	Field 2	15:20	16:20	U16	U16 Gladiators Basel	U16 Winterthur Warriors	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates	CN Argovia Pirates
2024-06-01	Fluntern	Field 2	16:30	17:30	U16	U16 Basel Spartans	U16 Lugano Rebels	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I
2024-06-01	Fluntern	Field 3	9:50	10:50	U16	U16 Lake Zurich Red Scorpions	U16 Langenthal Invaders	Andreas Capeder	CN Zurich Renegades B	CN Zurich Renegades B	CN Zurich Renegades B
2024-06-01	Fluntern	Field 3	11:00	12:00	U16	U16 Gladiators Basel	U16 Geneva Seahawks	Andreas Capeder	CN Fraumatt Legions	CN Fraumatt Legions	CN Fraumatt Legions
2024-06-01	Fluntern	Field 3	13:00	14:00	U16	U16 Gladiators Basel	U16 Zurich Renegades B	Andreas Capeder	CN Zurich Renegades B	CN Zurich Renegades B	CN Zurich Renegades B
2024-06-01	Fluntern	Field 3	14:10	15:10	U16	U16 Zofingen Cheetahs	U16 Geneva Seahawks	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White
2024-06-01	Fluntern	Field 3	15:20	16:20	U16	U16 Basel Spartans	U16 Lake Zurich Red Scorpions	Andreas Capeder	CN Basel Barbarians	CN Basel Barbarians	CN Basel Barbarians
2024-06-01	Fluntern	Field 3	16:30	17:30	U16	U16 Argovia Pirates	U16 Zofingen Cheetahs	Andreas Capeder	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs
2024-06-08	Bienna	Field 1	9:20	10:20	HARWY B	B Midland Bouncers	B Winterthur Warriors Black	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's	B Bienna Jets OG's
2024-06-08	Bienna	Field 1	10:30	11:30	HARWY B	B Bienna Jets OG's	B Soly Rhinos	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black	B Winterthur Warriors Black
2024-06-08	Bienna	Field 1	11:40	12:40	HARWY B	B Midland Bouncers	B Basel Spartans Yellow	B Rafz Bulldogs A	B Rafz Bulldogs A	B Rafz Bulldogs A	U13 Zurich Renegades
2024-06-08	Bienna	Field 1	12:50	13:50	HARWY B	B Rafz Bulldogs A	B Zorros Zürich	B Bienna Jets OG's	B Bienna Jets OG's	U13 Lake Zurich Red Scorpions	U13 Lake Zurich Red Scorpions
2024-06-08	Bienna	Field 1	14:00	15:00	HARWY B	B Soly Rhinos	B Winterthur Warriors Black	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers	B Midland Bouncers
2024-06-08	Bienna	Field 1	15:10	16:10	HARWY CSW	CSW Aemme Buzzards II	CSW Bienna Jets Young Guns	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow	B Basel Spartans Yellow
2024-06-08	Bienna	Field 1	16:20	17:20	HARWY B	B Bienna Jets OG's	B Zorros Zürich	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos	B Soly Rhinos
2024-06-08	Bienna	Field 1	17:30	18:30	HARWY B	B Basel Spartans Yellow	B Rafz Bulldogs A	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich	B Zorros Zürich
2024-06-08	Bienna	Field 2	9:20	10:20	HARWY CSW	CSW Blackbucks Uni Bern Black	CSW Chaux de Fonds Hornets	B Soly Rhinos	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns	CSW Bienna Jets Young Guns
2024-06-08	Bienna	Field 2	10:30	11:30	U13	U13 Bienna Jets	U13 Zurich Renegades	CSW Lugano Rebels	CSW Lugano Rebels	CSW Lugano Rebels	CSW Lugano Rebels
2024-06-08	Bienna	Field 2	11:40	12:40	HARWY CSW	CSW Blackbucks Uni Bern Black	CSW Lugano Rebels	CSW Thun Tigers	CSW Thun Tigers	U13 Fraumatt Legions Black	U13 Rafz Bulldogs
2024-06-08	Bienna	Field 2	12:50	13:50	HARWY CSW	CSW Bienna Jets Young Guns	CSW Thun Tigers	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II	U13 Fraumatt Legions Red
2024-06-08	Bienna	Field 2	14:00	15:00	U13	U13 Thun Tigers	U13 Winterthur Warriors	B Rafz Bulldogs A	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black
